day_number,name,type,description
1,Rocher de Falize,uitzichtpunt,Panoramisch zicht over de Ourthe-vallei met minimale omweg en ideale fotostop
1,Stuwdam van Gileppe,uitzichtpunt/dam,Groot stuwmeer met indrukwekkend uitzicht en iconisch leeuwenbeeld bovenop de dam
1,Signal de Botrange,natuur/hoogtepunt,Hoogste punt van België in uniek veenlandschap met snelle stopmogelijkheid langs de weg
1,Rursee uitzichtpunten,natuur/meer,Meerdere spectaculaire uitzichtpunten over het meer langs een van de beste motorwegen van de regio
1,Burg Monschau,historisch stadje/kasteel,Schilderachtig vakwerkstadje met kasteel en gezellige pauzemogelijkheden vlak naast de route
2,Hohe Acht,uitzichtpunt/berg,Hoogste punt van de Eifel met uitkijktoren en panoramisch zicht direct bereikbaar vanaf de weg
2,Nürburgring Nordschleife,motorsport/circuit,Iconisch racecircuit met zichtpunten langs de weg en unieke motorsfeer
2,Burg Eltz,kasteel/historisch,Een van de mooiste kastelen van Duitsland in een bosrijke vallei op korte afstand van de route
2,Mosel uitzichtpunten (bijv. Bremm Calmont),uitzichtpunt/rivier,Spectaculaire haarspeldbochten en uitzicht over de Moezelwijngaarden vlak langs de weg
2,Cochem Reichsburg,historisch stadje/kasteel,Indrukwekkend kasteel boven charmant stadje met perfecte combinatie van stop en pauzeplek
